UF,CE
Cidade,RUSSAS
Nome Posto,ACUDE SANTO ANTONIO DE RUSSAS
Latitude,-4.833333333333333
Longitude,-38.166666666666664
Codigo,438007
Qtd. Anos,85
Ano,Maxima
1911,64
1912,75
1913,66
1914,55
1915,23
1916,48
1917,87.2
1918,53
1919,32.5
1920,50
1921,62.2
1922,61.8
1923,62
1924,66.7
1925,66.7
1926,67.2
1927,65.1
1928,65.1
1929,73.2
1930,61.3
1931,67.7
1932,76
1933,110
1934,62.6
1935,52.9
1936,45.2
1937,60
1938,71.6
1939,72.3
1940,83
1941,60.3
1942,42.5
1943,78
1944,53.5
1945,77
1946,37.9
1947,67.3
1948,39.7
1949,80
1950,56.9
1951,76.1
1952,77.4
1953,47.8
1954,46.4
1955,62
1956,68
1957,63
1958,27.3
1959,49
1960,112.9
1961,70.5
1962,68.8
1963,67
1964,76
1965,72
1966,64.6
1967,69
1968,72
1969,48.2
1970,29.1
1971,53.7
1972,60.8
1973,76.8
1974,74
1975,54.2
1976,37.6
1977,81.2
1978,80.2
1979,73.4
1980,73
1981,127.4
1982,56.4
1983,87.5
1984,63.8
1985,68.4
1986,75.2
1987,36
1988,64
1989,84.8
1990,67
1991,24.1
1997,10.2
1998,59
1999,92
2000,82
