UF,CE
Cidade,ACARAU
Nome Posto,ARANAU
Latitude,-2.8166666666666664
Longitude,-40.21666666666667
Codigo,240009
Qtd. Anos,47
Ano,Maxima
1974,142.2
1975,79
1976,58.2
1977,91.2
1978,86.2
1979,80
1980,53.1
1981,91
1982,101
1983,69.5
1984,86
1985,137.6
1986,166
1987,109.9
1988,123.2
1989,118.3
1990,55.4
1991,65.5
1992,180.2
1993,61.5
1994,125
1995,141.2
1996,97
1997,104.4
1998,47.6
1999,63.2
2000,150
2001,50
2002,51.2
2003,126.2
2004,208.2
2005,55.2
2006,65.3
2007,86.1
2008,74.3
2009,190.3
2010,72.4
2011,139.4
2012,66
2013,57.3
2014,60.4
2015,108.4
2016,81.3
2017,85
2018,70.2
2019,109
2020,120.1
