UF,CE
Cidade,MULUNGU
Nome Posto,MULUNGU
Latitude,-4.3
Longitude,-38.983333333333334
Codigo,439008
Qtd. Anos,99
Ano,Maxima
1916,34.2
1917,85.3
1918,55.2
1919,18.1
1920,64.2
1921,70
1922,30
1923,63.4
1924,60.4
1925,45.3
1926,66.4
1927,42.8
1932,63
1933,61
1934,66.1
1935,75.8
1936,50.5
1937,46
1938,59.5
1939,65.5
1940,72.9
1941,54
1942,58.5
1943,57.2
1944,35.5
1945,65.5
1946,60
1948,61
1949,70.8
1951,58.9
1952,40.3
1953,54.7
1954,50.8
1955,72.7
1956,35.8
1957,59.2
1958,83
1959,74.5
1960,73.3
1961,84
1962,75.6
1963,88.7
1964,76.4
1965,53
1966,72.2
1967,96
1968,83
1969,75
1970,52.1
1971,65
1972,45.5
1973,53.3
1974,91
1975,45.3
1976,50
1977,80
1978,53.8
1979,65
1980,77
1981,80
1982,67
1983,80
1984,67
1985,64
1986,80
1987,77.2
1988,87
1989,128.4
1990,63
1991,90
1992,78
1993,50
1994,88
1995,68
1996,76
1997,43.3
1998,46.5
1999,38
2000,85
2001,78
2002,91
2003,50
2004,59
2005,71
2006,58
2007,47
2008,70
2009,61
2010,42
2011,87
2012,50
2013,74
2014,32
2015,68
2016,39
2017,90
2018,50
2019,74
2020,108
