UF,CE
Cidade,SOBRAL
Nome Posto,ACUDE PATOS
Latitude,-3.7666666666666666
Longitude,-40.03333333333333
Codigo,340009
Qtd. Anos,69
Ano,Maxima
1916,63
1917,96.4
1918,49.9
1919,31.5
1920,84.5
1921,66.5
1922,34.9
1923,48.5
1924,75.3
1925,82.8
1926,79.7
1928,91.8
1929,69.7
1930,50.2
1937,63.3
1938,99.3
1939,50.4
1940,70
1941,62.2
1942,60.5
1943,42
1944,33
1945,85
1946,61
1948,35.2
1949,59.5
1950,79
1951,63
1952,65
1953,25.4
1954,36.2
1955,47
1956,77
1957,60
1959,72
1960,68
1961,86.5
1962,61.5
1963,96.5
1964,95
1965,103.8
1966,98.5
1967,70.2
1968,62.8
1969,58
1970,38
1971,74.4
1972,60
1973,56
1974,95.4
1975,95
1976,42
1977,87.2
1978,80.9
1979,69.3
1980,46
1981,90.5
1982,68
1983,13
1984,78.3
1985,58.3
1986,76.5
1987,49.5
1988,63.6
1989,133.5
1990,33.6
1998,52
1999,81
2000,69.7
