UF,CE
Cidade,ALTO SANTO
Nome Posto,CASTANHAO
Latitude,-5.466944444444445
Longitude,-38.4075
Codigo,538008
Qtd. Anos,59
Ano,Maxima
1961,95.6
1962,76
1963,81
1964,54
1965,46
1966,54
1967,58.5
1968,70
1969,74
1970,45
1971,46.4
1972,103
1973,58
1974,96.4
1975,80.2
1976,45.6
1977,92.4
1978,79.2
1979,48.3
1980,53
1981,38.2
1982,66.4
1983,56.3
1984,114.2
1985,69
1986,98.6
1987,58
1988,73
1989,109
1990,97.8
1991,78.3
1992,54.2
1993,57.5
1994,57.5
1995,94.1
1996,92
1997,74.5
1998,31.5
1999,66.5
2000,56.2
2001,51
2002,68
2003,48.5
2004,142
2005,62.5
2006,68.5
2007,78.5
2008,70
2009,69.5
2010,51
2011,97
2012,74.5
2013,81.3
2014,109.5
2015,34
2016,53
2017,63
2018,71.7
2019,53
