UF,CE
Cidade,MILHA
Nome Posto,MILHA
Latitude,-5.680555555555556
Longitude,-39.2
Codigo,539011
Qtd. Anos,95
Ano,Maxima
1921,9
1922,70.5
1923,56.2
1924,72.2
1925,82
1926,134.5
1927,96
1928,63
1929,56.2
1930,50
1931,51
1932,58
1933,65
1934,70
1935,71
1936,70
1937,117.4
1938,77.2
1939,163
1940,180.6
1941,59.2
1942,48.5
1943,57.6
1944,62
1945,82
1946,60.2
1947,50.6
1948,60
1949,54
1950,57
1951,92
1952,63.6
1953,45
1954,74
1955,58.6
1956,51.3
1962,52.3
1963,72.5
1964,95.1
1965,75
1966,130
1967,61
1968,100.1
1969,81.3
1970,67.5
1971,58.1
1972,61.1
1973,104
1974,70.4
1975,99.4
1976,60
1977,57
1978,127
1979,104
1980,60
1981,90.4
1982,104.7
1983,91
1984,103
1985,70
1986,63
1987,90
1988,20.6
1989,97.4
1990,53.3
1991,70.4
1992,79
1993,111
1994,117
1995,76
1996,63
1997,86.4
1998,55
1999,70
2000,68.5
2001,100
2002,115
2003,48
2004,90
2005,61
2006,72
2007,135
2008,92
2009,115
2010,119
2011,131
2012,55
2013,67
2014,110
2015,55
2016,100
2017,62
2018,86
2019,63
2020,95
