UF,CE
Cidade,AURORA
Nome Posto,AURORA
Latitude,-6.95
Longitude,-38.96666666666667
Codigo,638010
Qtd. Anos,92
Ano,Maxima
1912,46.8
1913,74
1914,64.5
1915,86
1916,70.5
1917,90
1918,70
1919,53.2
1920,60.4
1921,47.5
1922,59.6
1923,67.2
1924,123.7
1925,72.1
1926,36.1
1927,59.2
1929,1.1
1930,35.6
1941,55.7
1948,54.4
1949,54
1950,71.4
1951,56
1952,60
1953,56
1954,48.5
1955,56
1956,60.7
1957,68.5
1958,71.3
1959,75.8
1960,103
1961,98.5
1962,67.8
1963,54.4
1964,80.2
1965,50
1966,88
1967,143.5
1968,72.3
1969,57.3
1970,60.3
1971,50.1
1972,83.4
1973,78.2
1974,70
1975,89
1976,60
1977,90
1978,158
1979,80
1980,108
1981,90
1982,75
1983,73
1984,49
1985,98
1986,48
1987,88
1988,81
1989,122
1990,66.2
1991,58.2
1992,105.5
1993,58
1994,96
1995,106
1996,90
1997,146.5
1998,92
1999,108.8
2000,101
2001,102
2002,61.2
2003,77.2
2004,84
2005,57.8
2006,63.2
2007,53.8
2008,136
2009,47.5
2010,136
2011,114
2012,119
2013,62
2014,83
2015,41
2016,92
2017,71
2018,80
2019,66.8
2020,74
