UF,CE
Cidade,INDEPENDENCIA
Nome Posto,INDEPENDENCIA-2
Latitude,-5.393611111111111
Longitude,-40.312777777777775
Codigo,540019
Qtd. Anos,47
Ano,Maxima
1974,86
1975,60
1976,83
1977,65
1978,91
1979,60
1980,70
1981,96.8
1982,24.3
1983,99
1984,115.5
1985,87
1986,69.2
1987,61
1988,56
1989,82
1990,41
1991,84
1992,81
1993,65
1994,37.3
1995,103
1996,183
1997,140.1
1998,27
1999,66
2000,82
2001,89
2002,63
2003,72
2004,106
2005,110
2006,61
2007,78
2008,85
2009,77.5
2010,60
2011,84
2012,14.5
2013,37
2014,100
2015,72.5
2016,53.4
2017,114.2
2018,65
2019,62
2020,55
