UF,CE
Cidade,DEPUTADO IRAPUAN PINHEIRO
Nome Posto,DEPUTADO IRAPUAN PINHEIRO
Latitude,-5.916666666666667
Longitude,-39.266666666666666
Codigo,539058
Qtd. Anos,47
Ano,Maxima
1974,95
1975,88.4
1976,55.4
1977,100
1978,98.2
1979,91
1980,98
1981,100
1982,86
1983,140
1984,107
1985,89
1986,65
1987,65
1988,52
1989,115
1990,43
1991,68
1992,72
1993,98
1994,103.5
1995,55
1996,113
1997,95
1998,83
1999,69
2000,61
2001,91
2002,69
2003,57
2004,92
2005,125
2006,100
2007,108
2008,83
2009,58
2010,97
2011,73
2012,110
2013,71
2014,60
2015,75
2016,130
2017,41
2018,81
2019,70
2020,37
