UF,CE
Cidade,AMONTADA
Nome Posto,AMONTADA-1
Latitude,-3.3633333333333333
Longitude,-39.82944444444445
Codigo,339000
Qtd. Anos,42
Ano,Maxima
1978,62
1979,48.2
1980,45
1981,57
1982,45
1983,27
1984,42
1985,58
1986,96
1987,51.5
1988,58.5
1989,64.5
1990,98
1991,119
1992,62.5
1993,40
1994,85
1995,130.4
1996,72
1997,53
1998,36.4
1999,71.4
2000,54.7
2001,47.5
2002,80
2003,92.5
2004,142.9
2005,54.5
2006,72.6
2007,45.7
2008,82.5
2009,140
2010,56.9
2011,96.3
2012,50
2013,87.9
2014,28.8
2015,86.3
2016,83.7
2017,99.8
2018,66.1
2019,61
