UF,CE
Cidade,COREAU
Nome Posto,COREAU
Latitude,-3.5666666666666664
Longitude,-40.65
Codigo,340102
Qtd. Anos,45
Ano,Maxima
1976,55.2
1977,98
1978,64
1979,62
1980,50
1981,66
1982,68
1983,38
1984,90
1985,112
1986,105
1987,88
1988,137
1989,135
1990,65
1991,80
1992,70
1993,58
1994,66
1995,70
1996,79.4
1997,57.5
1998,28
1999,48
2000,109.4
2001,115
2002,93
2003,120
2004,85
2005,80
2006,65
2007,96
2008,52
2009,56
2010,72.5
2011,106
2012,39
2013,39
2014,45
2015,46
2016,44
2017,72
2018,68
2019,61.4
2020,38.9
