UF,CE
Cidade,IPU
Nome Posto,IPU
Latitude,-4.316666666666666
Longitude,-40.7
Codigo,440078
Qtd. Anos,47
Ano,Maxima
1974,95
1975,53
1976,85
1977,82
1978,120
1979,56
1980,97
1981,94
1982,53
1983,17.2
1984,102
1985,113
1986,62
1987,71
1988,103
1989,106
1990,74
1991,62
1992,71.6
1993,71
1994,89
1995,129
1996,77
1997,77.2
1998,37
1999,55.5
2000,64
2001,54.8
2002,80
2003,68.6
2004,88.6
2005,71
2006,57.4
2007,66
2008,41
2009,64.8
2010,107
2011,137
2012,132
2013,105
2014,67
2015,85
2016,95
2017,105
2018,95
2019,69
2020,98
