UF,CE
Cidade,BARRO
Nome Posto,BARRO
Latitude,-7.166666666666667
Longitude,-38.766666666666666
Codigo,738060
Qtd. Anos,47
Ano,Maxima
1974,60.2
1975,79.6
1976,75.4
1977,65
1978,56.2
1979,137.6
1980,97.1
1981,102.2
1982,70
1983,126.5
1984,86.2
1985,78.4
1986,61
1987,114
1988,63
1989,124.6
1990,64
1991,81.6
1992,36
1993,118
1994,59.6
1995,74.5
1996,88
1997,73.1
1998,65.7
1999,58
2000,88.7
2001,58.2
2002,118
2003,75
2004,94
2005,88
2006,102
2007,48.4
2008,122
2009,99
2010,85.2
2011,75
2012,46
2013,89.2
2014,98
2015,38
2016,122
2017,50
2018,122.4
2019,45
2020,58
