UF,CE
Cidade,URUBURETAMA
Nome Posto,URUBURETAMA
Latitude,-3.6166666666666667
Longitude,-39.5
Codigo,339034
Qtd. Anos,80
Ano,Maxima
1910,47
1911,57.5
1912,86.3
1913,71.3
1914,64.5
1915,71.3
1916,75
1917,88
1918,39.2
1919,63.5
1920,84.6
1921,70.6
1922,62.2
1923,93
1924,70
1925,73.5
1926,67.2
1927,225
1928,35.7
1929,32.4
1930,75.1
1962,79.2
1963,61
1964,95
1965,81
1966,104
1967,86
1968,98
1969,70
1970,98.4
1971,64
1972,55.6
1973,91.8
1974,125.4
1975,58.8
1976,55.3
1977,49.6
1978,86.2
1979,40.4
1980,56
1981,79
1982,59.2
1983,48.8
1984,56.4
1985,70.5
1986,157.8
1987,83
1988,60.2
1989,96
1990,56.3
1991,57.8
1992,69.4
1993,57
1994,80
1995,62
1996,86.2
1997,111.4
1998,41.2
1999,52.4
2000,91
2001,49
2002,100
2003,64
2004,86
2005,67
2006,73
2007,73.5
2008,82
2009,70
2010,77
2011,133
2012,81
2013,57
2014,38
2015,50.7
2016,36
2017,54
2018,90
2019,98
2020,55
