UF,CE
Cidade,SOBRAL
Nome Posto,ACUDE ARACATIACU
Latitude,-3.9
Longitude,-40.016666666666666
Codigo,340003
Qtd. Anos,51
Ano,Maxima
1915,47
1916,60.3
1917,122.3
1918,66.7
1919,35
1921,51
1922,65.1
1923,60
1924,130.8
1925,51.6
1926,67.5
1927,50.1
1928,67.3
1929,72.5
1930,57
1951,18
1952,49.4
1962,50.8
1963,156
1964,98.6
1965,52.8
1966,77
1967,72.2
1968,71.4
1969,41.1
1970,27.4
1971,67.9
1972,34.4
1973,97.3
1974,130.3
1975,49.2
1976,36.2
1977,47.3
1978,144.6
1979,61.2
1980,53
1981,60.7
1982,36.4
1983,30.6
1984,48.5
1985,79.4
1986,55.2
1987,93.5
1988,60.2
1989,55.3
1990,71.8
1991,42.8
1998,15.8
1999,71.1
2000,68.8
2001,16.6
