UF,CE
Cidade,ITAPAJE
Nome Posto,ITAPAJE
Latitude,-3.6799999999999997
Longitude,-39.580000000000005
Codigo,339037
Qtd. Anos,48
Ano,Maxima
1972,62.2
1974,77
1975,70
1976,32
1977,68
1978,84
1979,50
1980,67.4
1981,79
1982,78.4
1983,33.2
1984,54.3
1985,71.2
1986,85.5
1987,58.6
1988,64.7
1989,54.7
1990,46.5
1991,54.5
1992,58.3
1993,83.5
1994,82.5
1995,71
1996,59
1997,38
1998,43
1999,52.6
2000,47.3
2001,54
2002,38.6
2003,60
2004,56
2005,77.4
2006,45
2007,41.2
2008,42.8
2009,61.8
2010,43.6
2011,67
2012,58
2013,63.5
2014,29.7
2015,43.6
2016,37.6
2017,47
2018,35.4
2019,52.2
2020,47.8
