UF,CE
Cidade,TRAIRI
Nome Posto,MUNDAU
Latitude,-3.183333333333333
Longitude,-39.36666666666667
Codigo,339024
Qtd. Anos,72
Ano,Maxima
1910,14
1911,94.6
1912,66
1913,95.2
1914,69.2
1915,33.5
1916,86.4
1917,73.6
1918,72.8
1919,64.3
1920,120
1921,67.3
1922,91.2
1923,80.1
1924,80.3
1925,60.3
1926,98.8
1927,44.4
1928,68.2
1929,68.4
1930,77.7
1931,64.4
1932,89.3
1933,101.2
1934,76.5
1935,94.2
1936,62.5
1937,111.2
1938,72.5
1939,90.6
1940,82
1941,85.4
1942,55.4
1943,91.5
1944,65.4
1945,65
1946,68.8
1948,56.5
1949,157
1950,130
1951,27
1952,68.2
1953,87
1954,73.3
1955,68
1956,53.1
1957,65.2
1958,16.5
1959,60.3
1960,66.9
1961,102.3
1962,93.5
1963,90.2
1964,109.5
1965,99
1966,47
1967,104
1968,98.5
1969,92.5
1970,72.8
1971,93.5
1972,77.2
1973,103
1974,123.5
1975,60.8
1976,56
1977,115
1978,88
1979,50
1980,61
1981,91.2
1982,58.6
