UF,CE
Cidade,ITAPIPOCA
Nome Posto,ITAPIPOCA
Latitude,-3.5
Longitude,-39.56666666666667
Codigo,339084
Qtd. Anos,47
Ano,Maxima
1974,64
1975,72
1976,50
1977,62
1978,79
1979,45
1980,73
1981,82
1982,48
1983,38
1984,93
1985,85
1986,96
1987,36
1988,50
1989,62.2
1990,107
1991,73
1992,70.4
1993,62
1994,188
1995,85.2
1996,144.4
1997,74
1998,45.6
1999,52
2000,101
2001,60
2002,77.5
2003,80
2004,103
2005,48
2006,141.6
2007,55
2008,115.2
2009,108.3
2010,39
2011,66
2012,71
2013,58.2
2014,74.2
2015,58
2016,68.2
2017,110.8
2018,59.8
2019,122.6
2020,66.4
