UF,CE
Cidade,ITAPAJE
Nome Posto,VERTENTES
Latitude,-3.9333333333333336
Longitude,-39.56666666666667
Codigo,339031
Qtd. Anos,46
Ano,Maxima
1935,53.1
1936,35.7
1937,65.5
1939,34.5
1940,49.9
1941,59.8
1942,60.8
1943,39.6
1944,58.4
1946,57.9
1947,47.5
1948,40.5
1949,49.1
1950,98.3
1951,63.8
1952,30.7
1953,18.5
1962,70.4
1963,36.2
1964,66
1965,50.3
1966,35.8
1967,83.8
1968,55.4
1969,55.4
1970,62.4
1971,68.4
1972,45.4
1973,66.2
1974,118
1975,95.4
1976,46.2
1977,54
1978,39.2
1979,34
1980,98.3
1981,75.3
1982,70.2
1983,38.4
1984,31.4
1985,68.3
1986,67.4
1987,92
1988,109
1989,86.3
1990,41.3
