UF,CE
Cidade,AURORA
Nome Posto,INGAZEIRA
Latitude,-7.1
Longitude,-39
Codigo,739004
Qtd. Anos,42
Ano,Maxima
1929,50
1930,50
1961,120
1962,109
1963,116.2
1964,79.4
1965,108
1966,122.6
1967,87.6
1968,47.1
1969,82
1970,70.2
1971,99.7
1972,114.2
1973,80.4
1974,83.6
1975,94.5
1976,125.4
1977,45.4
1998,64
1999,87.2
2000,122
2001,111.6
2002,109
2003,86
2004,95.6
2005,53.2
2006,76.4
2007,68
2008,157
2009,69.2
2010,103.7
2011,125.8
2012,95.2
2013,70
2014,101.6
2015,98
2016,54.4
2017,53.4
2018,93.6
2019,86.6
2020,66
