UF,CE
Cidade,CAMOCIM
Nome Posto,CAMOCIM-2
Latitude,-2.9166666666666665
Longitude,-40.833333333333336
Codigo,240002
Qtd. Anos,47
Ano,Maxima
1974,116.8
1975,75
1976,120
1977,90
1978,63.8
1979,60
1980,145
1981,99.6
1982,132.2
1983,48.4
1984,115
1985,180
1986,125
1987,57.5
1988,60
1989,82.1
1990,134.6
1991,128.6
1992,85
1993,51
1994,77
1995,137
1996,99.5
1997,116
1998,64.5
1999,85
2000,123
2001,57.3
2002,83.6
2003,84
2004,62
2005,58
2006,82
2007,65
2008,134
2009,140
2010,48
2011,92
2012,32
2013,80
2014,100
2015,108
2016,106
2017,66
2018,100
2019,140
2020,55
