UF,CE
Cidade,ARACOIABA
Nome Posto,VAZANTES
Latitude,-4.416666666666667
Longitude,-38.68333333333333
Codigo,438049
Qtd. Anos,64
Ano,Maxima
1932,37.6
1933,54
1934,70.6
1935,59
1936,45.7
1937,83.7
1938,85.8
1939,57.3
1940,67.9
1941,41.2
1942,42.6
1943,38
1946,57.6
1947,79.9
1948,64.9
1949,94.8
1950,89.2
1951,44.8
1952,85.8
1953,53.5
1954,24.8
1955,109.3
1956,64.5
1957,149.4
1958,45.7
1959,70.1
1960,82
1961,84
1962,80
1963,63.8
1964,90
1965,56.5
1966,38.8
1967,126
1968,84
1969,71.6
1970,51
1971,63
1972,38.6
1973,80
1974,87.7
1975,66
1976,67.3
1977,76
1978,71.5
1979,99.1
1980,80.4
1981,75.5
1982,49.6
1983,72.2
1984,100.1
1985,108.4
1986,110
1987,57
1988,30.3
1989,68.3
1990,58.2
1991,80.4
1994,42
1997,16.3
1998,54.4
1999,42
2000,88
2001,22
