UF,CE
Cidade,QUIXADA
Nome Posto,ACUDE CEDRO
Latitude,-4.983333333333333
Longitude,-39.06666666666667
Codigo,439020
Qtd. Anos,99
Ano,Maxima
1911,58
1912,60.5
1913,58.2
1914,66.5
1915,58.8
1916,69.6
1917,70.2
1918,70.4
1919,26.7
1920,45
1921,101.6
1922,66.3
1923,66.3
1924,67.9
1925,87.5
1926,67.9
1927,33.5
1928,58.3
1929,103
1930,45.2
1931,60.2
1932,24.4
1933,66.2
1934,65.9
1935,55.2
1936,85.6
1937,52
1938,80.6
1939,54.7
1940,54.4
1941,48.2
1942,63.8
1943,42.5
1944,41.6
1945,62.9
1946,84.2
1947,88.8
1948,47.2
1949,75.5
1950,63.8
1951,57.9
1952,51.9
1953,48.5
1954,70
1955,82
1956,58
1957,32
1958,68.1
1959,101.7
1960,61.7
1961,77.5
1962,110
1963,66.5
1964,70
1965,56.4
1966,64.4
1967,76
1968,65
1969,68.2
1970,53
1971,54.5
1972,52.4
1973,70
1974,112
1975,66
1976,54.5
1977,63
1978,43
1979,58.4
1980,87
1981,56.2
1982,90
1983,41.2
1984,61.9
1985,64
1986,104
1987,46
1988,35
1989,125
1990,20
1991,59
1992,55
1998,31.2
1999,65
2000,64
2003,56
2007,54
2009,58
2010,111
2011,56
2012,65
2013,73
2014,44
2015,18
2016,55
2017,72.6
2018,64.4
2019,60.6
2020,62.4
