UF,CE
Cidade,MOMBACA
Nome Posto,FAZENDA SAO JERONIMO
Latitude,-5.683333333333334
Longitude,-39.81666666666667
Codigo,539030
Qtd. Anos,60
Ano,Maxima
1932,53.6
1933,54.2
1934,62.5
1935,70.5
1936,54.7
1937,70
1938,36.4
1939,73.4
1940,77.5
1941,87.7
1942,28
1943,62.3
1944,60.2
1945,37.5
1946,36.4
1947,45.6
1948,41.5
1949,51.4
1950,36.4
1951,80.2
1952,40.3
1953,34.4
1954,66
1955,72.5
1956,83
1957,56.8
1958,64.2
1959,50.4
1960,52.7
1961,28.2
1962,58.5
1963,13.4
1964,49
1966,82.1
1967,68
1968,56.2
1969,80.4
1970,90
1971,73
1972,38.8
1973,78.2
1974,69
1975,80.4
1976,90
1977,56
1978,85
1979,60
1980,38
1981,65
1982,62
1983,41
1984,46.4
1985,50.4
1986,68
1987,31
1988,63
1989,88.4
1998,65
1999,71.2
2000,104.2
