UF,CE
Cidade,CROATA
Nome Posto,CROATA-2
Latitude,-4.416666666666667
Longitude,-40.916666666666664
Codigo,440047
Qtd. Anos,44
Ano,Maxima
1974,130
1975,66
1976,75
1977,46
1978,67
1979,50
1980,60
1981,69
1982,37
1983,40
1984,62
1988,17
1989,26.6
1990,83
1991,63
1992,53.2
1993,44
1994,32
1995,86.6
1996,62.2
1997,100
1998,33.4
1999,44
2000,58.5
2001,68.6
2002,52.5
2003,30
2004,76
2005,99.5
2006,60
2007,69.9
2008,79.3
2009,98.7
2010,46
2011,89.2
2012,91.3
2013,31.8
2014,92
2015,60
2016,33
2017,42
2018,42
2019,57
2020,106.8
