UF,CE
Cidade,CARIUS
Nome Posto,CARIUS
Latitude,-6.533333333333333
Longitude,-39.5
Codigo,639030
Qtd. Anos,93
Ano,Maxima
1928,103.2
1929,64.3
1930,67
1931,51.3
1932,51.8
1933,70.6
1934,82.2
1935,93.5
1936,63.5
1937,65
1938,60.7
1939,105.3
1940,44.6
1941,108.6
1942,96.6
1943,67.5
1944,66.5
1945,54.2
1946,61.5
1947,71.8
1948,59.5
1949,91.9
1950,86.8
1951,61
1952,132.9
1953,41.2
1954,48.1
1955,66
1956,99
1957,68
1958,86.2
1959,63.4
1960,80
1961,49.5
1962,49
1963,86.1
1964,78
1965,57
1966,60.6
1967,125.8
1968,66.7
1969,91.2
1970,101
1971,91
1972,60
1973,181
1974,82
1975,101
1976,75
1977,110
1978,120.6
1979,95
1980,95
1981,133
1982,122
1983,147
1984,77
1985,80
1986,60
1987,61
1988,70
1989,84
1990,85
1991,64
1992,83
1993,86
1994,108
1995,76
1996,78
1997,98
1998,56
1999,50
2000,130
2001,86
2002,58
2003,116
2004,111
2005,66
2006,180
2007,62
2008,127
2009,92
2010,111
2011,205
2012,96
2013,87
2014,69
2015,64
2016,82
2017,122
2018,68
2019,68
2020,87
