UF,CE
Cidade,GRANJA
Nome Posto,IBUACU
Latitude,-3.3833333333333333
Longitude,-40.916666666666664
Codigo,340019
Qtd. Anos,53
Ano,Maxima
1934,51.8
1935,66.9
1936,77.4
1937,84.5
1938,61.5
1939,88.4
1940,84
1941,84.7
1942,85.1
1943,100.4
1944,79
1945,69.2
1946,72
1947,74.4
1948,86
1949,60.2
1950,99
1951,73
1952,104.5
1953,108
1954,102
1955,131.5
1956,73
1958,45
1959,74.5
1961,104
1962,99.1
1963,80.7
1964,73.4
1965,63
1966,64.6
1967,62.6
1968,102.4
1969,62.7
1970,53.6
1971,75.2
1972,54.6
1973,64.2
1974,104
1975,85
1976,111
1977,77
1978,100
1979,82.6
1980,86.6
1981,97.6
1982,114.2
1984,70
1985,82.4
1986,61
1987,8.5
1988,110
1989,76.9
