UF,CE
Cidade,FORQUILHA
Nome Posto,FORQUILHA
Latitude,-3.8
Longitude,-40.25
Codigo,340005
Qtd. Anos,94
Ano,Maxima
1920,55.3
1921,65
1922,59.4
1923,45.3
1924,82.5
1925,47
1926,91
1927,70
1929,65.1
1930,65
1931,46.8
1932,44
1933,58.9
1934,82.4
1935,46.6
1936,53.1
1937,44.8
1938,102.7
1939,65.5
1940,98.1
1941,57
1942,109.2
1943,77.7
1944,48.3
1945,88.2
1946,89.7
1947,80
1948,35.2
1949,59.5
1950,79
1951,63
1952,65
1953,68
1954,95.7
1955,115
1956,105
1957,112.5
1958,12
1959,72
1960,68
1961,86.5
1962,61.5
1963,96.5
1964,67
1965,95.2
1966,65.2
1967,101.2
1968,80.5
1969,37.5
1970,65
1971,78
1972,45.8
1973,63.7
1975,48.6
1976,9.7
1980,37
1983,48
1984,76.5
1985,97.5
1986,65.5
1987,75.3
1988,111
1989,75
1990,37
1991,58.6
1992,49
1993,46.8
1994,65
1995,54
1996,67
1997,31
1998,37
1999,100
2000,58
2001,116
2002,55
2003,82
2004,105
2005,34
2006,56
2007,43
2008,74
2009,69
2010,65
2011,75
2012,55.2
2013,85
2014,62
2015,51
2016,66
2017,104
2018,105
2019,85
2020,50
