UF,CE
Cidade,ASSARE
Nome Posto,ASSARE
Latitude,-6.866666666666667
Longitude,-39.86666666666667
Codigo,639014
Qtd. Anos,93
Ano,Maxima
1912,65.7
1913,65.4
1914,46.2
1915,65.5
1916,51
1917,63.9
1918,62.3
1919,45.3
1920,62.5
1921,64.5
1922,57
1923,42.7
1924,68.5
1925,65
1926,66
1927,33.2
1928,45.2
1929,96
1930,50
1941,10.8
1948,53.7
1949,81
1950,70
1951,55.2
1952,56.5
1953,90.7
1954,57
1955,85
1956,49.6
1957,90
1958,40.2
1959,50.5
1960,91
1961,60.4
1962,47
1963,70
1964,58.5
1965,71
1966,115.2
1967,56.4
1968,39.4
1969,70.2
1970,61.3
1971,79.3
1972,88.5
1973,80.8
1974,68
1975,59.8
1976,47.8
1977,82
1978,104.6
1979,66.4
1980,67
1981,94.8
1982,76.2
1983,67.2
1984,52.2
1985,83.6
1986,68.4
1987,108
1988,67
1989,94
1990,95
1991,39.4
1992,101
1993,36.2
1994,42.2
1995,105
1996,68.2
1997,47.8
1998,53.5
1999,72.4
2000,41.2
2001,46
2002,59
2003,44.4
2004,70
2005,75
2006,80.6
2007,74
2008,96
2009,44.3
2010,64.5
2011,56.2
2012,102
2013,43.4
2014,66
2015,52.4
2016,43.8
2017,88.3
2018,40
2019,45
2020,75
