UF,CE
Cidade,ITAPAJE
Nome Posto,ITAPAGE
Latitude,-3.6833333333333336
Longitude,-39.583333333333336
Codigo,339014
Qtd. Anos,97
Ano,Maxima
1912,92
1913,72.5
1914,60.3
1915,40
1916,67.2
1917,61
1918,82.3
1919,38.8
1920,62
1921,103.2
1922,49.5
1923,55.2
1924,70.2
1925,70
1926,12.2
1927,20.1
1928,76
1929,31
1930,68.5
1931,60.8
1932,36.6
1933,65
1934,62.2
1935,78.2
1936,92.5
1937,54.5
1938,51.5
1939,75.6
1940,68.5
1941,65.5
1942,60.8
1943,60
1944,55
1946,37.2
1947,62.5
1948,49
1949,57.2
1950,41.2
1951,44.3
1952,94
1953,58.2
1954,71
1955,59
1956,30
1957,57.1
1958,35
1959,40
1960,70
1961,38.4
1962,39.2
1963,61.2
1964,102
1965,45.3
1966,44
1967,109.2
1968,36
1969,37.6
1970,101.6
1971,85.2
1972,62.2
1973,84.3
1974,66.2
1975,69.2
1976,38.2
1977,65.5
1978,65.4
1979,34.2
1980,62.5
1981,89.5
1982,70.3
1983,33.2
1984,54.3
1985,67.3
1986,85.5
1987,58.6
1988,64.7
1989,54.7
1990,41.5
1991,54
1992,58
1993,83
1994,82
1995,71
1996,59
1997,38
1998,43
1999,52
2000,47
2001,54
2002,38
2003,60
2004,56
2005,77.4
2006,45
2007,41
2008,42
2009,56
