UF,CE
Cidade,IGUATU
Nome Posto,BARRO ALTO
Latitude,-6.45
Longitude,-39.4
Codigo,639003
Qtd. Anos,47
Ano,Maxima
1966,48.7
1967,137.6
1968,75
1969,199.4
1970,66.2
1971,85
1972,53
1973,61.2
1974,96.6
1975,120
1976,72.2
1977,83.2
1978,109.5
1979,118.2
1980,80.2
1981,117.6
1982,132
1983,88.2
1984,95
1985,80.2
1986,117.2
1987,165.3
1988,58.2
1989,96.2
1990,82.2
1995,72
1996,82
1997,97.3
1998,76.4
1999,62.4
2000,60.4
2001,25.4
2004,80.6
2007,13.1
2008,114.6
2009,122.4
2010,84.4
2011,143
2012,98.4
2013,67.6
2014,72
2015,56.2
2016,35.2
2017,71.5
2018,110.2
2019,113
2020,120
