UF,CE
Cidade,PARAIPABA
Nome Posto,PARAIPABA
Latitude,-3.4
Longitude,-39.166666666666664
Codigo,339040
Qtd. Anos,44
Ano,Maxima
1968,10
1969,52
1970,70
1971,66.4
1972,50
1973,77.6
1974,103.6
1977,2.2
1978,116.8
1979,55
1980,56.7
1981,95.4
1989,52.8
1990,98
1991,172.5
1992,50
1993,82
1994,65
1995,88
1996,127.4
1997,55
1998,49
1999,112
2000,79
2001,81.8
2002,125
2003,82.4
2004,74
2005,79
2006,55
2007,77
2008,72
2009,121
2010,53
2011,60
2012,63
2013,125
2014,85
2015,99
2016,233
2017,83
2018,85.6
2019,160
2020,105.2
