UF,CE
Cidade,SENADOR POMPEU
Nome Posto,ACUDE PATU
Latitude,-5.583333333333333
Longitude,-39.416666666666664
Codigo,539002
Qtd. Anos,57
Ano,Maxima
1921,20
1922,63.7
1923,65
1924,68.1
1925,92.5
1926,78
1927,52.2
1928,39.8
1929,54.8
1930,81
1933,50
1945,82.2
1946,90.2
1947,37.2
1948,74.3
1949,69.2
1950,102
1951,23
1952,70.2
1953,63
1954,82
1955,72
1956,45
1958,17
1959,65.2
1960,90.5
1961,65.5
1962,80.1
1963,51
1964,72.5
1965,62.3
1966,66.2
1967,66.2
1968,68.4
1969,52.5
1970,38.2
1971,47.8
1972,70.2
1973,72.8
1974,106.6
1975,74.4
1976,53.6
1977,98.2
1978,126.3
1979,131.4
1980,63.6
1981,67.2
1982,68.4
1983,76.6
1984,112.4
1985,79.2
1986,69.6
1987,73.6
1988,46.4
1989,80.8
1991,27
1992,36
