UF,CE
Cidade,SOLONOPOLE
Nome Posto,SOLONOPOLE
Latitude,-5.7
Longitude,-39.016666666666666
Codigo,539023
Qtd. Anos,109
Ano,Maxima
1912,52
1913,90
1914,83
1915,17
1916,72.5
1917,102
1918,90.5
1919,36.9
1920,68
1921,136
1922,64.3
1923,75.5
1924,150
1925,75
1926,111
1927,67.7
1928,39
1929,74.5
1930,34.7
1931,54
1932,50
1933,104
1934,52
1935,81
1936,63
1937,65
1938,98
1939,100
1940,70
1941,66.2
1942,60
1943,82
1944,50
1945,90
1946,80
1947,56
1948,45
1949,80
1950,45
1951,71.3
1952,54.1
1953,80.4
1954,50.3
1955,70.4
1956,60.2
1957,75.2
1958,85.4
1959,50.3
1960,70
1961,74.7
1962,69.1
1963,53.4
1964,60.1
1965,60.7
1966,54.1
1967,126
1968,87.3
1969,61
1970,72
1971,90
1972,48
1973,65
1974,101
1975,95.5
1976,35
1977,45
1978,69
1979,69
1980,83
1981,67
1982,110.5
1983,120
1984,102
1985,97
1986,104
1987,124.5
1988,65.8
1989,97
1990,85
1991,94
1992,78
1993,37
1994,84
1995,66
1996,96
1997,131.2
1998,65
1999,69
2000,54
2001,105
2002,80
2003,71
2004,97
2005,95
2006,87
2007,97
2008,55
2009,75
2010,82
2011,78
2012,41
2013,119
2014,87
2015,95
2016,78
2017,61
2018,75
2019,71.4
2020,62
