UF,CE
Cidade,MISSAO VELHA
Nome Posto,MISSAO VELHA
Latitude,-7.25
Longitude,-39.13333333333333
Codigo,739007
Qtd. Anos,108
Ano,Maxima
1912,90.9
1913,79.7
1914,67.5
1915,118.3
1916,76.2
1917,86.2
1918,78.8
1919,64
1920,109.7
1921,81.2
1922,104
1923,81
1924,86.5
1925,60
1926,50
1927,48
1928,90
1929,45
1930,67.1
1931,73
1932,70
1933,66.3
1934,58.4
1935,68.5
1936,50.5
1937,75
1938,85
1939,80
1940,112.3
1941,66.3
1942,76.1
1943,95.8
1944,90
1945,110
1946,90.2
1948,82.5
1949,105.2
1950,75.2
1951,103.2
1952,60.2
1953,72.5
1954,100
1955,140
1956,72
1957,68.3
1958,25
1959,57
1960,88.7
1961,67.4
1962,63.2
1963,139.5
1964,61
1965,98.6
1966,87.4
1967,79.2
1968,95.6
1969,54.5
1970,67.8
1971,65.2
1972,77.3
1973,158
1974,95
1975,70
1976,52
1977,79
1978,144
1979,66
1980,79
1981,100
1982,101
1983,77
1984,104
1985,119
1986,123
1987,94
1988,87
1989,92
1990,102
1991,55
1992,83
1993,97
1994,43
1995,90
1996,80
1997,96.6
1998,92
1999,86.5
2000,87
2001,67
2002,62.6
2003,116.5
2004,111
2005,84
2006,92.8
2007,143
2008,143
2009,92
2010,76.5
2011,103.2
2012,141
2013,90
2014,94.2
2015,66.4
2016,75.2
2017,59
2018,60.8
2019,95
2020,75
