UF,CE
Cidade,CAMPOS SALES
Nome Posto,ACUDE POCO DE PEDRA
Latitude,-6.966666666666667
Longitude,-40.333333333333336
Codigo,640008
Qtd. Anos,61
Ano,Maxima
1932,75.8
1933,56.5
1934,62.6
1935,62.8
1936,70.2
1937,48.7
1938,48.3
1939,49.6
1940,62
1941,93.5
1942,64.6
1943,45
1944,43
1945,64.4
1946,64.6
1947,65.2
1948,43.4
1949,57
1950,39.4
1951,36
1952,113.3
1953,28
1954,54.3
1955,43.9
1956,48.8
1957,65.3
1958,41.2
1959,70.4
1960,66
1961,50.8
1962,81.4
1963,63.1
1964,87.7
1965,45.3
1966,92.8
1967,63.2
1968,66.4
1969,72.2
1970,106
1971,48.3
1972,42.7
1973,70.1
1974,83.1
1975,58.3
1976,65
1977,50.2
1978,51.2
1979,38.5
1980,53.6
1981,52.3
1982,33.2
1983,48.1
1984,41.2
1985,65.2
1986,57.6
1987,54.1
1988,68.2
1989,60.6
1990,41.3
1997,80
1998,59
