UF,CE
Cidade,CRATEUS
Nome Posto,CRATEUS
Latitude,-5.2
Longitude,-40.666666666666664
Codigo,540114
Qtd. Anos,57
Ano,Maxima
1962,24.8
1963,92.5
1964,77.4
1965,74.6
1966,71.8
1967,140.2
1968,89.1
1969,49.4
1970,96.6
1972,42
1974,96
1975,69
1976,60
1977,64
1978,100
1979,103
1980,63
1981,67.9
1982,39
1983,44.6
1984,60
1985,65.6
1986,97
1987,93
1988,83
1989,97
1990,44
1991,79
1992,53
1993,44
1994,52
1995,128
1996,86
1997,125
1998,34
1999,124
2000,47.2
2001,41
2002,62
2003,125
2004,140
2005,120
2006,75
2007,100
2008,79
2009,106
2010,79
2011,64
2012,37
2013,34
2014,87
2015,42.5
2016,67
2017,41
2018,85
2019,63
2020,40
