UF,CE
Cidade,CROATA
Nome Posto,CROATA-1
Latitude,-4.416388888888889
Longitude,-40.90416666666667
Codigo,440005
Qtd. Anos,58
Ano,Maxima
1962,51.8
1963,80
1964,69.4
1965,105
1966,76
1967,80.1
1968,95.6
1969,52.6
1970,30.4
1971,83
1972,72
1973,61.2
1974,98
1975,30
1976,54
1977,75
1978,117.4
1979,47
1980,71.4
1981,44.2
1982,76
1983,54
1984,56
1985,109
1986,42
1987,64.2
1988,67
1989,57
1990,83
1991,63
1992,56
1993,44
1994,36
1995,91
1996,56
1997,103
1998,36
1999,44.2
2000,55
2001,67.2
2002,50
2003,32
2004,76.2
2005,51
2006,62
2007,58.8
2008,69.8
2009,60.8
2010,61.4
2011,58.5
2012,84
2013,20
2014,87.6
2015,55.8
2016,35
2017,64
2018,45.6
2019,54.5
