UF,CE
Cidade,BEBERIBE
Nome Posto,BOQUEIRAO DO CESARIO
Latitude,-4.583333333333333
Longitude,-38.21666666666667
Codigo,438015
Qtd. Anos,51
Ano,Maxima
1962,73.2
1963,60.2
1964,45.6
1965,44
1966,61.4
1967,62.2
1968,44.2
1969,62.8
1970,46.2
1971,77.2
1972,120
1973,83.4
1974,83.4
1975,98.8
1976,52.4
1977,77.8
1978,48
1979,63.2
1980,86.6
1981,74.2
1982,39.4
1983,79.4
1984,72.8
1985,59.4
1986,82.4
1987,50.2
1988,21.6
1989,80.2
1990,34
1991,44.2
1992,6
1994,74.6
1997,11.4
1998,40.4
1999,73
2000,77
2001,106
2002,81
2003,43
2004,70
2005,43
2006,83
2007,52
2008,23
2009,90
2010,33
2012,180
2013,78
2018,73
2019,61
2020,39
