UF,CE
Cidade,SAO BENEDITO
Nome Posto,SAO BENEDITO
Latitude,-4.05
Longitude,-40.86666666666667
Codigo,440030
Qtd. Anos,47
Ano,Maxima
1974,120
1975,54.2
1976,79.1
1977,84
1978,90
1979,73
1980,63.1
1981,65
1982,65
1983,70
1984,74
1985,97
1986,104
1987,78
1988,76
1989,84.1
1990,99.2
1991,62.1
1992,50.3
1993,112.3
1994,64.3
1995,134.2
1996,100.4
1997,59.2
1998,73.4
1999,77
2000,110
2001,81
2002,62.4
2003,74
2004,146
2005,65
2006,71
2007,61
2008,114.2
2009,114
2010,121
2011,105
2012,70
2013,69.6
2014,79.4
2015,86.8
2016,46
2017,49
2018,87.4
2019,69
2020,91.2
