UF,CE
Cidade,ITAPIPOCA
Nome Posto,BETANIA
Latitude,-3.2675
Longitude,-39.6475
Codigo,339016
Qtd. Anos,70
Ano,Maxima
1911,64
1912,105
1913,72
1914,78.6
1915,26.6
1916,65.9
1917,102.3
1918,66.3
1919,28.9
1920,106.7
1921,71.1
1922,58.5
1923,62.1
1924,71.2
1925,70.2
1931,75.3
1932,60.5
1933,49.3
1934,66.4
1935,63.8
1936,45.5
1937,62.8
1938,54.5
1939,91.7
1940,54.6
1941,38.1
1942,65.6
1943,59
1944,71.2
1945,106
1946,113.2
1947,84.5
1948,112.5
1949,58.8
1950,48.5
1951,44.2
1952,47.2
1953,41.6
1954,48
1955,68
1956,141
1957,70.3
1958,24
1959,82
1960,50
1961,63
1962,108
1963,77.8
1964,109
1965,107
1966,81.2
1967,136.2
1968,61.7
1969,61.7
1970,55.9
1971,65.8
1972,52.8
1973,49.3
1974,69.3
1975,80
1976,55.9
1977,110.5
1978,94
1979,52
1980,76
1981,77.2
1982,47.7
1983,37.8
1984,78
1985,117
