UF,CE
Cidade,IPAUMIRIM
Nome Posto,IPAUMIRIM
Latitude,-6.783333333333333
Longitude,-38.71666666666667
Codigo,638013
Qtd. Anos,56
Ano,Maxima
1965,0.2
1966,75
1967,105.6
1968,66.4
1969,75
1970,100.2
1971,56
1972,90
1973,60
1974,64.5
1975,16
1976,68.3
1977,81.3
1978,115
1979,164
1980,130.3
1981,70.2
1982,56.1
1983,79
1984,70
1985,134
1986,87
1987,95
1988,70
1989,63
1990,66
1991,46.5
1992,64.2
1993,56.5
1994,98
1995,66
1996,89.6
1997,121
1998,70
1999,154
2000,157
2001,48
2002,83
2003,77
2004,83
2005,132
2006,87.2
2007,70
2008,135
2009,41.4
2010,65
2011,97.4
2012,101
2013,88
2014,120.4
2015,74
2016,66.4
2017,125.4
2018,125.2
2019,76.2
2020,100.6
