UF,CE
Cidade,ARACOIABA
Nome Posto,ARACOIABA
Latitude,-4.366666666666666
Longitude,-38.8
Codigo,438009
Qtd. Anos,75
Ano,Maxima
1941,32
1944,48.3
1945,66.3
1946,50.3
1948,52.4
1949,58.6
1950,76.3
1951,35.9
1952,59
1953,48.3
1954,73
1955,66.2
1956,64.5
1959,58
1960,50.7
1961,43.3
1962,92
1963,82
1964,180
1965,76
1966,50.2
1967,92
1968,61.4
1969,84
1970,47
1971,47
1972,43.3
1973,55
1974,56
1975,43
1976,81
1977,60
1978,89
1979,99
1980,58
1981,52
1982,58
1983,57
1984,52
1985,86
1986,73
1987,68
1988,83
1989,81
1990,47
1991,63
1992,53
1993,54.3
1994,71
1995,59
1996,56
1997,53
1998,36.6
1999,54.6
2000,68.6
2001,78.6
2002,89
2003,64.8
2004,73
2005,98.4
2006,48.8
2007,70
2008,48
2009,50
2010,84
2011,71.8
2012,36
2013,74.6
2014,50
2015,70
2016,74.6
2017,56
2018,57
2019,70.2
2020,48.8
