UF,CE
Cidade,MORAUJO
Nome Posto,VARZEA DA VOLTA
Latitude,-3.5166666666666666
Longitude,-40.61666666666667
Codigo,340013
Qtd. Anos,62
Ano,Maxima
1917,15
1918,101
1919,74.5
1920,60.3
1921,87.6
1922,72.2
1923,48.3
1924,80.4
1925,66.4
1932,80.3
1933,59.2
1934,66.3
1935,59.6
1936,35.2
1937,105
1938,120
1939,61
1948,48
1949,89
1950,48
1951,68
1952,51
1953,62
1954,62
1955,103
1956,54
1957,151
1958,32
1959,77.5
1960,62
1961,62.8
1962,64.2
1963,133.5
1964,62
1965,185
1966,69.5
1967,56
1968,34.3
1969,69.4
1970,73.1
1971,113.1
1972,50.5
1973,75.3
1974,90
1975,108.2
1976,91.2
1977,100
1978,75.1
1979,69
1980,55
1981,107
1982,50.2
1983,51
1984,78.6
1985,100
1986,112.6
1987,88
1988,98
1989,130
1991,42
1998,46.6
1999,54.2
