UF,CE
Cidade,JAGUARIBE
Nome Posto,JAGUARIBE
Latitude,-5.9
Longitude,-38.61666666666667
Codigo,538029
Qtd. Anos,47
Ano,Maxima
1974,128
1975,71
1976,92.9
1977,92.4
1978,105
1979,38
1980,112
1981,85
1982,143.2
1983,65
1984,77
1985,160
1986,130
1987,78
1988,55
1989,76
1990,134
1991,58
1992,81.6
1993,30.4
1994,132.4
1995,48.8
1996,86
1997,56.8
1998,44.2
1999,105
2000,98
2001,56.4
2002,44.6
2003,117
2004,122
2005,70.5
2006,69
2007,114
2008,146.5
2009,65
2010,66
2011,62.2
2012,65
2013,82
2014,40
2015,27
2016,68
2017,31
2018,58
2019,45
2020,132
