UF,CE
Cidade,CEDRO
Nome Posto,CEDRO
Latitude,-6.6
Longitude,-39.06666666666667
Codigo,639026
Qtd. Anos,71
Ano,Maxima
1919,17.8
1920,61.7
1921,79
1922,68
1923,63
1924,10.4
1925,51.4
1926,50
1927,40
1928,12.2
1929,60.1
1930,58.6
1962,92
1963,146.5
1964,143.4
1965,56.2
1966,65.5
1967,120.4
1968,59.5
1969,92
1970,114.6
1971,56.6
1972,75.3
1973,164
1974,97
1975,124
1976,73
1977,71
1978,99
1979,65
1980,72
1981,121
1982,81
1983,100
1984,85
1985,92.2
1986,52.5
1987,74.2
1988,86.5
1989,135.5
1990,75
1991,144.2
1992,72.5
1993,52.3
1994,138.8
1995,98.6
1996,91.2
1997,77.2
1998,58.8
1999,97.4
2000,135.4
2001,47.6
2002,81
2003,72.6
2004,57.4
2005,79.8
2006,173.6
2007,92
2008,110
2009,99.6
2010,244
2011,64
2012,113.5
2013,111
2014,78.3
2015,49.3
2016,134.4
2017,64.2
2018,64
2019,35.3
2020,41
