UF,CE
Cidade,ACOPIARA
Nome Posto,TABOLEIRO DO MEIO
Latitude,-6.183333333333334
Longitude,-39.666666666666664
Codigo,639022
Qtd. Anos,56
Ano,Maxima
1932,75.8
1933,62.8
1934,64.6
1935,53.2
1936,36.9
1937,69.1
1938,48.6
1939,45.9
1940,58.4
1941,63.1
1942,48.6
1943,64.9
1944,35.6
1946,38.2
1947,43.2
1948,46.1
1949,52.1
1950,58.6
1951,64.2
1952,56.5
1953,58.6
1954,48.6
1955,49.2
1956,68.4
1957,58.9
1958,68.7
1959,54.2
1960,46.3
1961,58.5
1962,79.9
1963,81.6
1964,68.3
1965,36.4
1966,61.5
1967,91.5
1968,64.2
1969,121.2
1970,108.5
1971,66.3
1972,51.3
1973,109.8
1974,112.6
1975,62.5
1976,72.3
1978,135.6
1979,83.2
1980,96.5
1981,55.2
1983,8.1
1984,73
1985,153
1986,67
1987,73
1988,60
1989,95
1990,5.7
