UF,CE
Cidade,SOLONOPOLE
Nome Posto,ACUDE RIACHO DO SANGUE
Latitude,-5.683333333333334
Longitude,-38.96666666666667
Codigo,538023
Qtd. Anos,65
Ano,Maxima
1918,47
1919,36.9
1920,89
1921,110
1922,89
1923,94
1924,142.5
1925,63.5
1926,63.6
1927,54.9
1928,33
1929,67.2
1930,25
1931,41.5
1932,49
1933,65.6
1934,48.5
1935,63.5
1936,64.1
1937,62.4
1938,104.5
1939,72.4
1940,103.8
1941,56.7
1942,65.8
1943,68.8
1944,59.5
1945,72
1946,47
1949,66
1950,83.5
1951,62.5
1952,64.2
1953,60.5
1954,53.6
1955,58
1956,66.3
1957,64.4
1958,36.1
1959,37.3
1960,51.9
1961,63
1962,114
1963,76.5
1964,66
1965,67
1966,49.4
1967,89
1968,69.6
1969,64.2
1970,58.7
1971,55
1972,54
1973,56.9
1975,54.4
1976,30.4
1977,51.3
1978,68
1979,41.4
1980,37.8
1981,58
1991,50
1992,50
2008,48
2009,16
