UF,CE
Cidade,AIUABA
Nome Posto,BARRA
Latitude,-6.6
Longitude,-40.31666666666667
Codigo,640014
Qtd. Anos,44
Ano,Maxima
1962,35
1963,84.2
1964,70.2
1965,41
1966,91.8
1967,98.2
1968,35.5
1969,106.2
1970,103
1971,57
1972,52
1973,70.4
1974,98
1975,48.3
1976,56
1977,41
1978,60
1979,60
1980,76
1981,72.3
1982,57
1983,104
1984,75.8
1985,100.8
1986,41.8
1987,56
1988,45
1989,77.3
1990,78
1997,68
1998,4
1999,73
2000,89
2001,60
2002,48.1
2003,40
2004,76
2005,42
2006,48
2007,95
2008,100
2009,91
2010,52
2016,56
