UF,CE
Cidade,FRECHEIRINHA
Nome Posto,FRECHEIRINHA
Latitude,-3.7666666666666666
Longitude,-40.81666666666667
Codigo,340015
Qtd. Anos,86
Ano,Maxima
1934,100.5
1935,93.2
1936,51.2
1937,60.5
1938,54.6
1939,70
1940,80
1941,40.5
1942,96
1943,60
1944,85.6
1945,87.1
1946,84.5
1948,41.3
1949,50.9
1950,60.4
1951,84.6
1952,80.5
1953,199.3
1954,119.2
1955,100.6
1956,78.3
1957,80.9
1958,69.7
1959,97.2
1960,97.6
1961,93.7
1962,83.9
1963,110.2
1964,70.1
1965,82.1
1966,40.5
1967,100.7
1968,53.9
1969,73.6
1970,84.8
1971,66.4
1972,41.2
1973,113.2
1974,91.8
1975,118.2
1976,61
1977,83.5
1978,98.6
1979,62.6
1980,15
1981,48
1982,43
1983,95.9
1984,150
1985,80.8
1986,104
1987,90
1988,77
1989,80.3
1990,69.4
1991,86
1992,67
1993,59
1994,85
1995,106
1996,118
1997,65
1998,72
1999,59
2000,78
2001,101
2002,49
2003,62
2004,54
2005,57
2006,90
2007,46
2008,84
2009,192
2010,67
2011,89
2012,40
2013,36
2014,53
2015,23
2016,47
2017,65
2018,102
2019,77
2020,48
