UF,CE
Cidade,SABOEIRO
Nome Posto,FLAMENGO
Latitude,-6.25
Longitude,-39.666666666666664
Codigo,639012
Qtd. Anos,57
Ano,Maxima
1932,61
1933,90
1934,70.7
1935,67
1936,50
1937,66
1938,96.5
1939,90.8
1940,63
1941,30
1942,61.7
1943,76.2
1944,55
1945,57
1946,65.2
1948,80
1949,70.7
1950,60
1951,34
1952,64
1953,50.6
1954,60
1955,65
1956,65
1957,64
1958,40
1959,81.3
1960,64
1961,60
1962,114
1963,104
1964,68.8
1965,70.3
1966,155
1967,86
1968,92
1969,84
1970,75
1971,98.3
1972,68
1973,75
1974,123
1975,91
1976,70.2
1977,60.2
1978,140
1979,80
1980,83
1981,90
1982,80
1983,80
1984,65.3
1985,91
1986,60
1987,70
1988,90
1989,83
