UF,CE
Cidade,MORADA NOVA
Nome Posto,MORADA NOVA-1
Latitude,-5.1
Longitude,-38.38333333333333
Codigo,538000
Qtd. Anos,64
Ano,Maxima
1912,55
1913,78
1914,95
1915,63
1916,83
1917,78
1918,51
1919,62
1920,49
1921,105.8
1922,99
1923,52
1924,120
1925,64.3
1926,92
1927,71
1928,80
1929,68
1930,40
1931,82
1932,51
1933,85
1934,85
1935,140
1936,92
1937,71
1938,95
1939,37
1940,106
1941,43.5
1942,23.6
1943,57
1944,60.8
1945,91
1946,80
1948,55.8
1949,140
1950,141.7
1951,41
1952,79
1953,46
1954,33
1955,62
1956,62.2
1957,69.5
1958,52.5
1959,73
1960,133
1961,72.5
1962,56.2
1963,56
1964,62.3
1965,73.5
1966,49.3
1967,60.6
1968,59
1969,73.3
1970,31.3
1971,84.3
1972,77.2
1973,113
1974,74
1975,50.4
1976,67.8
