UF,CE
Cidade,ICO
Nome Posto,LIMA CAMPOS
Latitude,-6.4
Longitude,-38.95
Codigo,638004
Qtd. Anos,50
Ano,Maxima
1932,32.5
1933,43
1934,62.9
1935,87.3
1936,55
1937,49.7
1941,47.5
1948,61.6
1949,65.4
1950,67.3
1951,67
1952,66
1953,83.4
1954,99.5
1955,78.9
1956,97.6
1957,57.5
1958,48.6
1959,80.2
1960,92
1961,58.6
1962,84
1963,64.4
1964,106
1965,71.8
1966,139.2
1967,93.3
1968,51.6
1969,72.2
1970,65.7
1971,61.4
1972,81.7
1973,88.8
1974,88.2
1975,83.9
1976,76.4
1977,99.1
1984,42.5
1985,129
1988,79.5
2009,108
2010,99.7
2011,90.3
2012,112
2013,58.4
2014,82.6
2015,44
2016,110
2017,25
2018,66.5
