UF,CE
Cidade,MARANGUAPE
Nome Posto,ITAPEBUSSU
Latitude,-4.016666666666667
Longitude,-38.93333333333333
Codigo,438031
Qtd. Anos,55
Ano,Maxima
1962,39.2
1963,54.3
1964,140
1965,52.5
1966,61.7
1967,104.3
1968,72.6
1969,167.3
1970,93.4
1971,60
1972,61.2
1973,60.6
1974,112.2
1975,89.2
1976,67
1977,53
1978,100.3
1979,71.5
1980,103
1981,152.6
1982,32.6
1983,35.3
1984,56
1985,74.7
1986,104.5
1987,64
1988,42
1989,39
1990,14
1991,60.4
1996,87.4
1997,26.5
1998,45
1999,55
2000,100
2001,64
2002,73
2003,70
2004,115
2005,114
2006,95
2007,80
2008,82.4
2009,66
2010,27.4
2011,76
2012,58
2013,45
2014,51
2015,85
2016,87.8
2017,60
2018,59.4
2019,85
2020,86
