UF,CE
Cidade,PEREIRO
Nome Posto,DANIEL DE QUEIROS
Latitude,-4.866666666666667
Longitude,-38.93333333333333
Codigo,438024
Qtd. Anos,69
Ano,Maxima
1919,24.5
1920,78
1921,64
1922,61
1923,87.5
1924,71.5
1925,68.4
1926,81.4
1927,53.5
1928,62
1929,64.4
1930,34
1931,36.9
1932,40.5
1933,83.5
1934,79.2
1935,122.9
1936,65.7
1937,111.3
1938,145.6
1939,77.5
1940,66.5
1941,62.7
1942,46.6
1943,52.7
1944,67.5
1945,63
1946,60.2
1947,66.1
1948,93
1949,40.3
1950,84.8
1951,72.5
1952,58.7
1953,50
1954,72.3
1955,63
1956,87.3
1957,50.1
1958,104.4
1959,106
1960,76
1961,80
1962,62
1963,69
1964,64.1
1965,54.4
1966,68.2
1967,45.2
1968,45.4
1969,112.1
1970,35.2
1971,59
1972,53.3
1973,63.4
1974,110
1975,69.6
1976,62
1977,56
1978,54
1979,72.8
1980,86
1981,98.8
1982,74.8
1983,54.2
1984,41.2
1985,107
1986,8
1987,21
