UF,CE
Cidade,JAGUARIBARA
Nome Posto,ACUDE VELAME
Latitude,-5.616666666666667
Longitude,-38.583333333333336
Codigo,538017
Qtd. Anos,63
Ano,Maxima
1920,39
1921,80
1922,86
1923,78
1924,98.6
1925,82
1926,85.1
1927,120
1928,74.3
1929,96
1930,70.2
1931,54.3
1932,55
1933,75.3
1934,88.3
1935,60.5
1936,58.8
1937,120.3
1938,95.9
1939,56.2
1940,159
1941,50.3
1948,74.5
1949,102
1950,66.7
1951,100
1952,75
1953,105
1954,80.5
1955,64.3
1956,106.6
1957,57.3
1958,23
1959,51.1
1960,48
1961,80
1962,52.1
1963,112.1
1964,81.2
1965,77.8
1966,74.5
1967,57.2
1968,78.1
1969,48.5
1970,56
1971,43
1972,65
1973,67
1974,71.2
1975,73.4
1976,78.4
1977,97.4
1978,105.2
1979,45.3
1980,87.8
1981,47
1982,52
1983,69.4
1984,109
1985,66
1986,62.4
1987,67.3
1988,60.1
