UF,CE
Cidade,BOA VIAGEM
Nome Posto,BOA VIAGEM
Latitude,-5.133333333333334
Longitude,-39.71666666666667
Codigo,539029
Qtd. Anos,109
Ano,Maxima
1910,31.5
1911,52.5
1912,47
1913,76.8
1914,61.2
1915,65
1916,127.8
1917,55.3
1918,36.4
1919,84.8
1920,66
1921,79.5
1922,48.8
1923,55.5
1924,56
1926,65.5
1928,49
1929,66.2
1930,44
1931,49.4
1932,36.4
1933,87.2
1934,77.7
1935,50
1936,38.2
1937,46.8
1938,76.1
1939,47.5
1940,60
1941,49.4
1942,44.8
1943,45.6
1944,64.4
1945,58.2
1946,97
1947,56.8
1948,72.3
1949,45
1950,95.8
1951,78.1
1952,50.7
1953,44.2
1954,54.9
1955,55.5
1956,70.5
1957,62.2
1958,36.4
1959,73.8
1960,83.2
1961,115.2
1962,108.2
1963,74.1
1964,86.8
1965,89.5
1966,74.3
1967,61.2
1968,42.5
1969,122.2
1970,41.6
1971,42.1
1972,41.8
1973,69.2
1974,115
1975,57.2
1976,56
1977,98.7
1978,67
1979,57
1980,55
1981,70.4
1982,85.6
1983,27.2
1984,82.2
1985,90.4
1986,58.8
1987,54
1988,62.6
1989,84.4
1990,73.2
1991,49.2
1992,65.9
1993,36.2
1994,55.2
1995,62
1996,91.4
1997,55.8
1998,56.5
1999,97.5
2000,66
2001,52
2002,102
2003,79.5
2004,86
2005,122
2006,47
2007,52
2008,41
2009,142
2010,57
2011,75
2012,33
2013,50
2014,22
2015,42
2016,49
2017,45
2018,59
2019,70
2020,137
