UF,CE
Cidade,CARIRIACU
Nome Posto,CARIRIACU
Latitude,-7.033333333333333
Longitude,-39.28333333333333
Codigo,739011
Qtd. Anos,87
Ano,Maxima
1934,90.4
1935,59.2
1936,60.1
1937,60.5
1938,52.5
1939,64.8
1940,58.9
1941,64
1942,55.3
1943,72.2
1944,64.8
1945,65.8
1946,75.2
1947,82.5
1948,71.2
1949,78.6
1950,125.2
1951,110.2
1952,65.2
1953,67.2
1954,64.5
1955,65.6
1956,78.6
1957,71.6
1958,75.6
1959,72.7
1960,24.2
1961,85.4
1962,120.2
1963,88.4
1964,95.2
1965,75.2
1966,68.5
1967,75.3
1968,175.3
1969,107.3
1970,95.6
1971,68.7
1972,95.1
1973,79
1974,77
1975,50.6
1976,55.4
1977,92.2
1978,64.5
1979,123.5
1980,127
1981,131
1982,99
1983,77
1984,76
1985,107
1986,93
1987,53
1988,109
1989,87
1990,83
1991,73
1992,68
1993,66
1994,75
1995,70
1996,78
1997,62
1998,82
1999,97
2000,125
2001,85
2002,92
2003,114
2004,208
2005,49
2006,110
2007,113
2008,115
2009,77
2010,135
2011,86
2012,108
2013,56
2014,71
2015,91
2016,59
2017,76
2018,110
2019,87
2020,70
