UF,CE
Cidade,PACAJUS
Nome Posto,PACAJUS
Latitude,-4.183333333333334
Longitude,-38.46666666666667
Codigo,438101
Qtd. Anos,47
Ano,Maxima
1974,130
1975,113
1976,77
1977,83
1978,33.5
1979,48.1
1980,88.5
1981,59
1982,32.3
1983,128
1984,80.3
1985,165
1986,126
1987,121.8
1988,55.3
1989,86
1990,45
1991,63
1992,72
1993,47
1994,150
1995,84
1996,90
1997,75
1998,41
1999,46.4
2000,99.6
2001,150
2002,111
2003,74
2004,88
2005,64.5
2006,103
2007,85
2008,88.6
2009,113
2010,66
2011,85
2012,77.2
2013,46.2
2014,39.2
2015,57
2016,47
2017,130.6
2018,36.8
2019,80.6
2020,110
