UF,CE
Cidade,CARIDADE
Nome Posto,CARIDADE
Latitude,-4.233333333333333
Longitude,-39.18333333333333
Codigo,439006
Qtd. Anos,62
Ano,Maxima
1926,75.4
1927,58.1
1928,42.4
1962,65.4
1963,70.2
1964,83.2
1965,52.4
1966,43.2
1967,67
1968,65
1969,38.4
1970,86.4
1971,56.1
1972,50.2
1973,55.1
1974,107.8
1975,42.8
1976,62.8
1977,90.4
1978,95.1
1979,58.4
1980,71.8
1981,100.2
1982,42.6
1983,17.4
1984,54.2
1985,90
1986,54.2
1987,75.2
1988,97
1989,26.8
1990,70.6
1991,78.3
1992,53
1993,28.4
1994,72
1995,63.2
1996,68
1997,36
1998,22.4
1999,42.6
2000,88
2001,138.6
2002,74
2003,65
2004,80
2005,52.4
2006,50
2007,56
2008,103
2009,70
2010,58.2
2011,104.8
2012,65
2013,46
2014,51
2015,58
2016,72.8
2017,65
2018,87.5
2019,60
2020,49
