UF,CE
Cidade,RERIUTABA
Nome Posto,RERIUTABA
Latitude,-4.15
Longitude,-40.583333333333336
Codigo,440000
Qtd. Anos,108
Ano,Maxima
1913,112
1914,123.6
1915,59.9
1916,58.2
1917,58.8
1918,74.2
1919,63.5
1920,94
1921,90
1922,60
1923,60
1924,65
1925,25
1926,65
1927,80
1928,69
1929,92
1930,102
1931,55
1932,49
1933,78.5
1934,65
1935,90
1936,100.5
1937,67.7
1938,60
1939,77
1940,60
1941,66
1942,66.6
1943,107.3
1944,59
1945,43
1946,75
1947,65
1948,54
1949,70
1950,79
1951,64
1952,51
1953,45
1954,61
1955,73
1956,66
1957,60
1958,70
1959,52
1960,86
1961,50
1962,86
1963,80
1964,91.9
1965,114.4
1966,80
1967,159.3
1968,82.7
1969,60.4
1970,47
1971,57.3
1972,50.3
1973,95
1974,100
1975,75
1976,81
1977,83
1978,172
1979,83
1980,101
1981,84
1982,44
1983,30
1984,92
1985,143
1986,61
1987,46
1988,58.6
1989,85
1990,82
1991,60
1992,117
1993,34
1994,76
1995,44
1996,84
1997,70
1998,83
1999,108.6
2000,46.2
2001,93
2002,55
2003,88
2004,97
2005,93
2006,46
2007,76
2008,72
2009,115
2010,102
2011,96
2012,56
2013,57
2014,85
2015,52
2016,46
2017,55
2018,98
2019,73
2020,82
