UF,CE
Cidade,ITAPIPOCA
Nome Posto,AMONTADA
Latitude,-3.3833333333333333
Longitude,-39.833333333333336
Codigo,339007
Qtd. Anos,49
Ano,Maxima
1922,60
1923,50
1924,60
1925,54
1926,60
1927,70
1928,30
1929,50
1930,60.5
1931,41
1933,59.3
1934,55
1935,77
1936,32.8
1939,51
1940,28
1941,39.5
1942,30
1943,40
1944,40
1946,45
1947,40
1948,40
1949,80
1950,45
1951,27
1952,57
1953,50
1954,40
1955,40
1956,40
1957,80
1962,42.4
1963,88.4
1964,85.3
1965,48.6
1966,71
1967,78.6
1968,53.4
1969,43.8
1970,32.8
1971,45.5
1972,48.2
1973,86.9
1974,65.3
1975,75.8
1976,35.4
1977,96.4
1978,62
