UF,CE
Cidade,GENERAL SAMPAIO
Nome Posto,ACUDE GENERAL SAMPAIO
Latitude,-4.066666666666666
Longitude,-39.46666666666667
Codigo,439009
Qtd. Anos,82
Ano,Maxima
1921,70.1
1922,34.4
1923,59.8
1924,76.9
1925,61.9
1926,58.6
1927,66.8
1928,48.9
1929,58.6
1930,52.7
1931,75.2
1932,24
1933,76.5
1934,72
1935,84.2
1936,50
1937,49
1938,51
1939,66.8
1940,60
1941,35
1942,50.4
1943,63.3
1944,95
1945,54.4
1946,49
1947,49.2
1948,41
1949,56.2
1950,85.4
1951,61
1952,63.3
1953,62.4
1954,67
1955,54.2
1956,65
1957,53
1958,21.2
1959,60.3
1960,45.9
1961,65.4
1962,77
1963,68.6
1964,61.5
1965,72
1966,48.1
1967,51.5
1968,49.2
1969,39.8
1970,76
1971,96
1972,32.2
1973,48.2
1974,97.1
1975,43.8
1976,35.7
1977,63.4
1978,76.2
1979,60.6
1980,80
1981,48.8
1982,51.2
1983,41.6
1984,107.6
1985,84.4
1986,80.4
1987,74.4
1988,36.2
1989,52.6
1990,44.5
1991,69.9
1992,55
2009,61.5
2010,55
2011,47
2012,32.4
2013,62.5
2014,47.5
2015,78.2
2016,98.4
2017,74
2018,54
