UF,CE
Cidade,TABULEIRO DO NORTE
Nome Posto,TABULEIRO DO NORTE
Latitude,-5.25
Longitude,-38.13333333333333
Codigo,538069
Qtd. Anos,47
Ano,Maxima
1974,33.5
1975,42
1976,67
1977,67
1978,123
1979,77
1980,64
1981,101.4
1982,59
1983,56
1984,73
1985,69
1986,60
1987,77.4
1988,77
1989,75
1990,51
1991,64
1992,67
1993,57.2
1994,103.2
1995,70
1996,49.6
1997,128.4
1998,56.4
1999,75
2000,74
2001,69.2
2002,117
2003,59
2004,99.4
2005,49.4
2006,66
2007,58
2008,101
2009,75
2010,81.6
2011,108
2012,97
2013,62
2014,36
2015,83
2016,38.2
2017,69
2018,53
2019,167.2
2020,54
